------------------------------------------------------
|  Number  |      |  Monthly     |  Yearly Balance  **|
| Of Years |      |Contributions |4.5   % |5     .0% |5.5   % |
|36        |2017  |450.00|19763.93 |10483.34|23542.89|
|          |      |              |      |      |      |
|37        |2017  |460.00|21113.30 |10987.02|25297.75|
|          |      |              |      |      |      |
|38        |2017  |470.00|22533.40 |11502.80|27159.13|
|          |      |              |      |      |      |
|39        |2017  |480.00|24027.40 |12030.73|29132.88|
|          |      |              |      |      |      |
|40        |2017  |490.00|25598.63 |12570.86|31225.18|
|          |      |              |      |      |      |
|41        |2017  |500.00|27250.57 |13123.23|33442.57|
|          |      |              |      |      |      |
|42        |2017  |510.00|28986.85 |13687.91|35791.91|
|          |      |              |      |      |      |
|43        |2017  |520.00|30811.25 |14264.95|38280.46|
|          |      |              |      |      |      |
|44        |2017  |530.00|32727.76 |14854.38|40915.88|
|          |      |              |      |      |      |
|45        |2017  |540.00|34740.51 |15456.28|43706.25|
|          |      |              |      |      |      |
|46        |2017  |550.00|36853.83 |16070.68|46660.09|
|          |      |              |      |      |      |
|47        |2017  |560.00|39072.25 |16697.64|49786.39|
|          |      |              |      |      |      |
|48        |2017  |570.00|41400.50 |17337.21|53094.64|
|          |      |              |      |      |      |
|49        |2017  |580.00|43843.52 |17989.45|56594.85|
|          |      |              |      |      |      |
|50        |2017  |590.00|46406.48 |18654.41|60297.56|
|          |      |              |      |      |      |
|51        |2017  |600.00|49094.77 |19332.14|64213.93|
|          |      |              |      |      |      |
|52        |2017  |610.00|51914.03 |20022.69|68355.69|
|          |      |              |      |      |      |
|53        |2017  |620.00|54870.16 |20726.12|72735.25|
|          |      |              |      |      |      |
|54        |2017  |630.00|57969.31 |21442.47|77365.69|
|          |      |              |      |      |      |
|55        |2017  |640.00|61217.93 |22171.82|82260.80|
|          |      |              |      |      |      |
|56        |2017  |650.00|64622.73 |22914.20|87435.13|
|          |      |              |      |      |      |
|57        |2017  |660.00|68190.76 |23669.68|92904.06|
|          |      |              |      |      |      |
|58        |2017  |670.00|71929.34 |24438.30|98683.78|
|          |      |              |      |      |      |
|59        |2017  |680.00|75846.16 |25220.13|104791.38|
|          |      |              |      |      |      |
|60        |2017  |690.00|79949.23 |26015.21|111244.91|
|          |      |              |      |      |      |
|61        |2017  |700.00|84246.94 |26823.61|118063.37|
|          |      |              |      |      |      |
|62        |2017  |710.00|88748.05 |27645.37|125266.84|
|          |      |              |      |      |      |
|63        |2017  |720.00|93461.70 |28480.56|132876.52|
|          |      |              |      |      |      |
|64        |2017  |730.00|98397.48 |29329.23|140914.72|
|          |      |              |      |      |      |
|65        |2017  |740.00|103565.36 |30191.44|149405.02|
|          |      |              |      |      |      |
|66        |2017  |750.00|108975.80 |31067.23|158372.28|
|          |      |              |      |      |      |
|67        |2017  |760.00|114639.70 |31956.68|167842.75|
|          |      |              |      |      |      |
|68        |2017  |770.00|120568.48 |32859.84|177844.09|
|          |      |              |      |      |      |
|69        |2017  |780.00|126774.06 |33776.75|188405.52|
|          |      |              |      |      |      |
|70        |2017  |790.00|133268.89 |34707.49|199557.81|
|          |      |              |      |      |      |
|71        |2017  |800.00|140065.98 |35652.10|211333.48|
|          |      |              |      |      |      |
|72        |2017  |810.00|147178.95 |36610.65|223766.81|
|          |      |              |      |      |      |
|73        |2017  |820.00|154622.00 |37583.20|236893.97|
|          |      |              |      |      |      |
|74        |2017  |830.00|162409.98 |38569.79|250753.13|
|          |      |              |      |      |      |
|75        |2017  |840.00|170558.42 |39570.50|265384.53|
|          |      |              |      |      |      |
|76        |2017  |850.00|179083.55 |40585.38|280830.66|
|          |      |              |      |      |      |
|77        |2017  |860.00|188002.30 |41614.48|297136.31|
|          |      |              |      |      |      |
|78        |2017  |870.00|197332.39 |42657.88|314348.78|
|          |      |              |      |      |      |
|79        |2017  |880.00|207092.34 |43715.62|332517.94|
|          |      |              |      |      |      |
|80        |2017  |890.00|217301.48 |44787.77|351696.41|
|          |      |              |      |      |      |
|81        |2017  |900.00|227980.05 |45874.39|371939.69|
|          |      |              |      |      |      |
|82        |2017  |910.00|239149.14 |46975.53|393306.34|
|          |      |              |      |      |      |
|83        |2017  |920.00|250830.84 |48091.26|415858.19|
|          |      |              |      |      |      |
|84        |2017  |930.00|263048.22 |49221.64|439660.38|
|          |      |              |      |      |      |
|85        |2017  |940.00|275825.38 |50366.73|464781.69|
|          |      |              |      |      |      |
|86        |2017  |950.00|289187.50 |51526.59|491294.66|
|          |      |              |      |      |      |
|87        |2017  |960.00|303160.94 |52701.29|519275.84|
|          |      |              |      |      |      |
|88        |2017  |970.00|317773.16 |53890.88|548806.00|
|          |      |              |      |      |      |
|89        |2017  |980.00|333052.94 |55095.43|579970.31|
|          |      |              |      |      |      |
|90        |2017  |990.00|349030.31 |56314.99|612858.63|
|          |      |              |      |      |      |
|91        |2017  |1000.00|365736.66 |57549.63|647565.81|
|          |      |              |      |      |      |
|92        |2017  |1010.00|383204.78 |58799.42|684191.88|
|          |      |              |      |      |      |
|93        |2017  |1020.00|401468.97 |60064.42|722842.38|
|          |      |              |      |      |      |
|94        |2017  |1030.00|420565.06 |61344.69|763628.69|
|          |      |              |      |      |      |
|95        |2017  |1040.00|440530.47 |62640.29|806668.25|
|          |      |              |      |      |      |
|96        |2017  |1050.00|461404.31 |63951.29|852084.94|
|          |      |              |      |      |      |
|97        |2017  |1060.00|483227.50 |65277.75|900009.56|
|          |      |              |      |      |      |
|98        |2017  |1070.00|506042.72 |66619.74|950580.06|
|          |      |              |      |      |      |
|99        |2017  |1080.00|529894.63 |67977.33|1003941.94|
|          |      |              |      |      |      |
|100       |2017  |1090.00|554829.88 |69350.57|1060248.75|
|          |      |              |      |      |      |
|101       |2017  |1100.00|580897.19 |70739.53|1119662.38|
|          |      |              |      |      |      |
|102       |2017  |1110.00|608147.56 |72144.28|1182353.75|
|          |      |              |      |      |      |
|103       |2017  |1120.00|636634.19 |73564.88|1248503.13|
|          |      |              |      |      |      |
|104       |2017  |1130.00|666412.69 |75001.41|1318300.75|
|          |      |              |      |      |      |
|105       |2017  |1140.00|697541.25 |76453.91|1391947.25|
|          |      |              |      |      |      |
|106       |2017  |1150.00|730080.56 |77922.47|1469654.25|
|          |      |              |      |      |      |
|107       |2017  |1160.00|764094.19 |79407.15|1551645.13|
|          |      |              |      |      |      |
|108       |2017  |1170.00|799648.38 |80908.01|1638155.50|
|          |      |              |      |      |      |
|109       |2017  |1180.00|836812.50 |82425.13|1729434.00|
|          |      |              |      |      |      |
|110       |2017  |1190.00|875659.00 |83958.56|1825742.75|
|          |      |              |      |      |      |
|111       |2017  |1200.00|916263.63 |85508.39|1927358.50|
|          |      |              |      |      |      |
|112       |2017  |1210.00|958705.44 |87074.67|2034573.13|
|          |      |              |      |      |      |
|113       |2017  |1220.00|1003067.13 |88657.48|2147694.50|
|          |      |              |      |      |      |
|114       |2017  |1230.00|1049435.13 |90256.89|2267047.50|
|          |      |              |      |      |      |
|115       |2017  |1240.00|1097899.63 |91872.96|2392975.00|
|          |      |              |      |      |      |
|116       |2017  |1250.00|1148555.00 |93505.77|2525838.50|
|          |      |              |      |      |      |
|117       |2017  |1260.00|1201499.88 |95155.38|2666019.50|
|          |      |              |      |      |      |
|118       |2017  |1270.00|1256837.38 |96821.86|2813920.50|
|          |      |              |      |      |      |
|119       |2017  |1280.00|1314675.00 |98505.28|2969966.00|
|          |      |              |      |      |      |
|120       |2017  |1290.00|1375125.38 |100205.72|3134604.00|
|          |      |              |      |      |      |
|121       |2017  |1300.00|1438306.00 |101923.24|3308307.00|
|          |      |              |      |      |      |
|122       |2017  |1310.00|1504339.75 |103657.92|3491573.75|
|          |      |              |      |      |      |
|123       |2017  |1320.00|1573355.00 |105409.83|3684930.00|
|          |      |              |      |      |      |
|124       |2017  |1330.00|1645485.88 |107179.04|3888931.00|
|          |      |              |      |      |      |
|125       |2017  |1340.00|1720872.63 |108965.62|4104162.00|
|          |      |              |      |      |      |
|126       |2017  |1350.00|1799661.88 |110769.64|4331240.50|
|          |      |              |      |      |      |
|127       |2017  |1360.00|1882006.63 |112591.18|4570818.50|
|          |      |              |      |      |      |
|128       |2017  |1370.00|1968066.88 |114430.31|4823583.50|
|          |      |              |      |      |      |
|129       |2017  |1380.00|2058009.75 |116287.11|5090260.50|
|          |      |              |      |      |      |
|130       |2017  |1390.00|2152010.00 |118161.64|5371614.50|
|          |      |              |      |      |      |
|131       |2017  |1400.00|2250250.25 |120053.98|5668453.00|
|          |      |              |      |      |      |
|132       |2017  |1410.00|2352921.50 |121964.21|5981627.50|
|          |      |              |      |      |      |
|133       |2017  |1420.00|2460222.75 |123892.40|6312036.50|
|          |      |              |      |      |      |
|134       |2017  |1430.00|2572362.75 |125838.62|6660628.00|
|          |      |              |      |      |      |
|135       |2017  |1440.00|2689559.00 |127802.95|7028402.00|
|          |      |              |      |      |      |
|136       |2017  |1450.00|2812039.00 |129785.46|7416413.50|
|          |      |              |      |      |      |
|137       |2017  |1460.00|2940040.75 |131786.23|7825776.00|
|          |      |              |      |      |      |
|138       |2017  |1470.00|3073812.50 |133805.34|8257663.50|
|          |      |              |      |      |      |
|139       |2017  |1480.00|3213614.00 |135842.86|8713315.00|
|          |      |              |      |      |      |
|140       |2017  |1490.00|3359716.50 |137898.88|9194037.00|
|          |      |              |      |      |      |
|141       |2017  |1500.00|3512403.50 |139973.45|9701209.00|
|          |      |              |      |      |      |
|142       |2017  |1510.00|3671971.50 |142066.67|10236285.00|
|          |      |              |      |      |      |
|143       |2017  |1520.00|3838730.00 |144178.61|10800800.00|
|          |      |              |      |      |      |
|144       |2017  |1530.00|4013002.75 |146309.36|11396373.00|
|          |      |              |      |      |      |
|145       |2017  |1540.00|4195128.00 |148458.98|12024713.00|
|          |      |              |      |      |      |
|146       |2017  |1550.00|4385458.50 |150627.56|12687622.00|
|          |      |              |      |      |      |
|147       |2017  |1560.00|4584364.00 |152815.17|13387001.00|
|          |      |              |      |      |      |
|148       |2017  |1570.00|4792230.00 |155021.91|14124855.00|
|          |      |              |      |      |      |
|149       |2017  |1580.00|5009460.00 |157247.83|14903301.00|
|          |      |              |      |      |      |
|150       |2017  |1590.00|5236475.50 |159493.03|15724572.00|
|          |      |              |      |      |      |
|151       |2017  |1600.00|5473716.50 |161757.58|16591023.00|
|          |      |              |      |      |      |
|152       |2017  |1610.00|5721643.50 |164041.56|17505138.00|
|          |      |              |      |      |      |
|153       |2017  |1620.00|5980737.00 |166345.06|18469540.00|
|          |      |              |      |      |      |
|154       |2017  |1630.00|6251500.00 |168668.17|19486994.00|
|          |      |              |      |      |      |
|155       |2017  |1640.00|6534457.00 |171010.95|20560418.00|
|          |      |              |      |      |      |
|156       |2017  |1650.00|6830157.50 |173373.50|21692890.00|
|          |      |              |      |      |      |
|157       |2017  |1660.00|7139174.50 |175755.89|22887658.00|
|          |      |              |      |      |      |
|158       |2017  |1670.00|7462107.00 |178158.20|24148148.00|
|          |      |              |      |      |      |
|159       |2017  |1680.00|7799581.50 |180580.53|25477974.00|
|          |      |              |      |      |      |
|160       |2017  |1690.00|8152252.50 |183022.95|26880952.00|
|          |      |              |      |      |      |
|161       |2017  |1700.00|8520804.00 |185485.55|28361102.00|
|          |      |              |      |      |      |
|162       |2017  |1710.00|8905950.00 |187968.41|29922672.00|
|          |      |              |      |      |      |
|163       |2017  |1720.00|9308437.00 |190471.61|31570138.00|
|          |      |              |      |      |      |
|164       |2017  |1730.00|9729046.00 |192995.23|33308224.00|
|          |      |              |      |      |      |
|165       |2017  |1740.00|10168593.00 |195539.38|35141916.00|
|          |      |              |      |      |      |
|166       |2017  |1750.00|10627929.00 |198104.13|37076472.00|
|          |      |              |      |      |      |
|167       |2017  |1760.00|11107945.00 |200689.56|39117436.00|
|          |      |              |      |      |      |
|168       |2017  |1770.00|11609572.00 |203295.77|41270664.00|
|          |      |              |      |      |      |
|169       |2017  |1780.00|12133782.00 |205922.83|43542328.00|
|          |      |              |      |      |      |
|170       |2017  |1790.00|12681592.00 |208570.84|45938944.00|
|          |      |              |      |      |      |
|171       |2017  |1800.00|13254063.00 |211239.89|48467384.00|
|          |      |              |      |      |      |
|172       |2017  |1810.00|13852305.00 |213930.06|51134896.00|
|          |      |              |      |      |      |
|173       |2017  |1820.00|14477478.00 |216641.44|53949132.00|
|          |      |              |      |      |      |
|174       |2017  |1830.00|15130794.00 |219374.11|56918160.00|
|          |      |              |      |      |      |
|175       |2017  |1840.00|15813519.00 |222128.17|60050496.00|
|          |      |              |      |      |      |
|176       |2017  |1850.00|16526977.00 |224903.70|63355120.00|
|          |      |              |      |      |      |
|177       |2017  |1860.00|17272550.00 |227700.80|66841508.00|
|          |      |              |      |      |      |
|178       |2017  |1870.00|18051684.00 |230519.55|70519656.00|
|          |      |              |      |      |      |
|179       |2017  |1880.00|18865890.00 |233360.05|74400112.00|
|          |      |              |      |      |      |
|180       |2017  |1890.00|19716744.00 |236222.38|78494000.00|
|          |      |              |      |      |      |
|181       |2017  |1900.00|20605896.00 |239106.64|82813072.00|
|          |      |              |      |      |      |
|182       |2017  |1910.00|21535070.00 |242012.92|87369696.00|
|          |      |              |      |      |      |
|183       |2017  |1920.00|22506068.00 |244941.31|92176944.00|
|          |      |              |      |      |      |
|184       |2017  |1930.00|23520770.00 |247891.91|97248600.00|
|          |      |              |      |      |      |
|185       |2017  |1940.00|24581144.00 |250864.80|102599200.00|
|          |      |              |      |      |      |
|186       |2017  |1950.00|25689244.00 |253860.06|108244104.00|
|          |      |              |      |      |      |
|187       |2017  |1960.00|26847218.00 |256877.81|114199488.00|
|          |      |              |      |      |      |
|188       |2017  |1970.00|28057312.00 |259918.14|120482424.00|
|          |      |              |      |      |      |
|189       |2017  |1980.00|29321870.00 |262981.13|127110928.00|
|          |      |              |      |      |      |
|190       |2017  |1990.00|30643342.00 |266066.88|134104016.00|
|          |      |              |      |      |      |
|191       |2017  |2000.00|32024292.00 |269175.50|141481728.00|
|          |      |              |      |      |      |
|192       |2017  |2010.00|33467394.00 |272307.06|149265232.00|
|          |      |              |      |      |      |
|193       |2017  |2020.00|34975444.00 |275461.69|157476832.00|
|          |      |              |      |      |      |
|194       |2017  |2030.00|36551368.00 |278639.44|166140080.00|
|          |      |              |      |      |      |
|195       |2017  |2040.00|38198216.00 |281840.44|175279808.00|
|          |      |              |      |      |      |
|196       |2017  |2050.00|39919184.00 |285064.78|184922240.00|
|          |      |              |      |      |      |
|197       |2017  |2060.00|41717604.00 |288312.56|195095024.00|
|          |      |              |      |      |      |
|198       |2017  |2070.00|43596968.00 |291583.88|205827312.00|
|          |      |              |      |      |      |
|199       |2017  |2080.00|45560908.00 |294878.81|217149888.00|
|          |      |              |      |      |      |
|200       |2017  |2090.00|47613240.00 |298197.47|229095216.00|
|          |      |              |      |      |      |
|201       |2017  |2100.00|49757932.00 |301539.97|241697536.00|
|          |      |              |      |      |      |
|202       |2017  |2110.00|51999144.00 |304906.38|254992992.00|
|          |      |              |      |      |      |
|203       |2017  |2120.00|54341224.00 |308296.81|269019712.00|
|          |      |              |      |      |      |
|204       |2017  |2130.00|56788704.00 |311711.38|283817920.00|
|          |      |              |      |      |      |
|205       |2017  |2140.00|59346332.00 |315150.19|299430048.00|
|          |      |              |      |      |      |
|206       |2017  |2150.00|62019064.00 |318613.31|315900832.00|
|          |      |              |      |      |      |
|207       |2017  |2160.00|64812080.00 |322100.88|333277504.00|
|          |      |              |      |      |      |
|208       |2017  |2170.00|67730792.00 |325612.97|351609920.00|
|          |      |              |      |      |      |
|209       |2017  |2180.00|70780848.00 |329149.69|370950624.00|
|          |      |              |      |      |      |
|210       |2017  |2190.00|73968176.00 |332711.16|391355072.00|
|          |      |              |      |      |      |
|211       |2017  |2200.00|77298944.00 |336297.44|412881792.00|
|          |      |              |      |      |      |
|212       |2017  |2210.00|80779600.00 |339908.69|435592480.00|
|          |      |              |      |      |      |
|213       |2017  |2220.00|84416896.00 |343544.97|459552256.00|
|          |      |              |      |      |      |
|214       |2017  |2230.00|88217888.00 |347206.41|484829856.00|
|          |      |              |      |      |      |
|215       |2017  |2240.00|92189928.00 |350893.09|511497728.00|
|          |      |              |      |      |      |
|216       |2017  |2250.00|96340720.00 |354605.16|539632320.00|
|          |      |              |      |      |      |
|217       |2017  |2260.00|100678304.00 |358342.69|569314304.00|
|          |      |              |      |      |      |
|218       |2017  |2270.00|105211096.00 |362105.78|600628800.00|
|          |      |              |      |      |      |
|219       |2017  |2280.00|109947872.00 |365894.56|633665664.00|
|          |      |              |      |      |      |
|220       |2017  |2290.00|114897808.00 |369709.13|668519552.00|
|          |      |              |      |      |      |
|221       |2017  |2300.00|120070512.00 |373549.59|705290368.00|
|          |      |              |      |      |      |
|222       |2017  |2310.00|125475992.00 |377416.06|744083584.00|
|          |      |              |      |      |      |
|223       |2017  |2320.00|131124728.00 |381308.63|785010432.00|
|          |      |              |      |      |      |
|224       |2017  |2330.00|137027664.00 |385227.41|828188288.00|
|          |      |              |      |      |      |
|225       |2017  |2340.00|143196240.00 |389172.53|873740992.00|
|          |      |              |      |      |      |
|226       |2017  |2350.00|149642416.00 |393144.09|921799040.00|
|          |      |              |      |      |      |
|227       |2017  |2360.00|156378688.00 |397142.19|972500288.00|
|          |      |              |      |      |      |
|228       |2017  |2370.00|163418096.00 |401166.94|1025990144.00|
|          |      |              |      |      |      |
|229       |2017  |2380.00|170774288.00 |405218.47|1082422016.00|
|          |      |              |      |      |      |
|230       |2017  |2390.00|178461504.00 |409296.88|1141957632.00|
|          |      |              |      |      |      |
|231       |2017  |2400.00|186494672.00 |413402.28|1204767616.00|
|          |      |              |      |      |      |
|232       |2017  |2410.00|194889344.00 |417534.78|1271032192.00|
|          |      |              |      |      |      |
|233       |2017  |2420.00|203661776.00 |421694.50|1340941312.00|
|          |      |              |      |      |      |
|234       |2017  |2430.00|212828976.00 |425881.56|1414695424.00|
|          |      |              |      |      |      |
|235       |2017  |2440.00|222408704.00 |430096.06|1492505984.00|
|          |      |              |      |      |      |
|236       |2017  |2450.00|232419536.00 |434338.13|1574596224.00|
|          |      |              |      |      |      |
|237       |2017  |2460.00|242880864.00 |438607.88|1661201408.00|
|          |      |              |      |      |      |
|238       |2017  |2470.00|253812960.00 |442905.41|1752569856.00|
|          |      |              |      |      |      |
|239       |2017  |2480.00|265237008.00 |447230.84|1848963584.00|
|          |      |              |      |      |      |
|240       |2017  |2490.00|277175168.00 |451584.31|1950658944.00|
|          |      |              |      |      |      |
|241       |2017  |2500.00|289650528.00 |455965.91|2057947648.00|
|          |      |              |      |      |      |
|242       |2017  |2510.00|302687296.00 |460375.75|2171137280.00|
|          |      |              |      |      |      |
|243       |2017  |2520.00|316310752.00 |464813.97|2290552320.00|
|          |      |              |      |      |      |
|244       |2017  |2530.00|330547264.00 |469280.69|2416535040.00|
|          |      |              |      |      |      |
|245       |2017  |2540.00|345424416.00 |473776.03|2549446912.00|
|          |      |              |      |      |      |
|246       |2017  |2550.00|360971072.00 |478300.09|2689668864.00|
|          |      |              |      |      |      |
|247       |2017  |2560.00|377217312.00 |482853.00|2837603072.00|
|          |      |              |      |      |      |
|248       |2017  |2570.00|394194624.00 |487434.88|2993673728.00|
|          |      |              |      |      |      |
|249       |2017  |2580.00|411935968.00 |492045.84|3158328064.00|
|          |      |              |      |      |      |
|250       |2017  |2590.00|430475648.00 |496686.03|3332038400.00|
|          |      |              |      |      |      |
|251       |2017  |2600.00|449849632.00 |501355.56|3515302912.00|
|          |      |              |      |      |      |
|252       |2017  |2610.00|470095456.00 |506054.53|3708646912.00|
|          |      |              |      |      |      |
|253       |2017  |2620.00|491252352.00 |510783.09|3912624896.00|
|          |      |              |      |      |      |
|254       |2017  |2630.00|513361312.00 |515541.34|4127821568.00|
|          |      |              |      |      |      |
|255       |2017  |2640.00|536465216.00 |520329.44|4354853888.00|
|          |      |              |      |      |      |
|256       |2017  |2650.00|560608768.00 |525147.50|4594373120.00|
|          |      |              |      |      |      |
|257       |2017  |2660.00|585838848.00 |529995.63|4847066112.00|
|          |      |              |      |      |      |
|258       |2017  |2670.00|612204288.00 |534873.94|5113656832.00|
|          |      |              |      |      |      |
|259       |2017  |2680.00|639756160.00 |539782.56|5394910208.00|
|          |      |              |      |      |      |
|260       |2017  |2690.00|668547840.00 |544721.69|5691632640.00|
|          |      |              |      |      |      |
|261       |2017  |2700.00|698635136.00 |549691.38|6004674560.00|
|          |      |              |      |      |      |
|262       |2017  |2710.00|730076352.00 |554691.75|6334934016.00|
|          |      |              |      |      |      |
|263       |2017  |2720.00|762932480.00 |559722.94|6683357696.00|
|          |      |              |      |      |      |
|264       |2017  |2730.00|797267136.00 |564785.13|7050944512.00|
|          |      |              |      |      |      |
|265       |2017  |2740.00|833146880.00 |569878.38|7438748672.00|
|          |      |              |      |      |      |
|266       |2017  |2750.00|870641216.00 |575002.88|7847882240.00|
|          |      |              |      |      |      |
|267       |2017  |2760.00|909822784.00 |580158.75|8279517696.00|
|          |      |              |      |      |      |
|268       |2017  |2770.00|950767552.00 |585346.06|8734894080.00|
|          |      |              |      |      |      |
|269       |2017  |2780.00|993554816.00 |590565.00|9215315968.00|
|          |      |              |      |      |      |
|270       |2017  |2790.00|1038267584.00 |595815.69|9722161152.00|
|          |      |              |      |      |      |
|271       |2017  |2800.00|1084992384.00 |601098.25|10256882688.00|
|          |      |              |      |      |      |
|272       |2017  |2810.00|1133819776.00 |606412.81|10821013504.00|
|          |      |              |      |      |      |
|273       |2017  |2820.00|1184844416.00 |611759.56|11416171520.00|
|          |      |              |      |      |      |
|274       |2017  |2830.00|1238165120.00 |617138.56|12044063744.00|
|          |      |              |      |      |      |
|275       |2017  |2840.00|1293885312.00 |622550.00|12706489344.00|
|          |      |              |      |      |      |
|276       |2017  |2850.00|1352112896.00 |627993.94|13405348864.00|
|          |      |              |      |      |      |
|277       |2017  |2860.00|1412960768.00 |633470.56|14142645248.00|
|          |      |              |      |      |      |
|278       |2017  |2870.00|1476546816.00 |638980.00|14920493056.00|
|          |      |              |      |      |      |
|279       |2017  |2880.00|1542994176.00 |644522.44|15741122560.00|
|          |      |              |      |      |      |
|280       |2017  |2890.00|1612431744.00 |650097.94|16606886912.00|
|          |      |              |      |      |      |
|281       |2017  |2900.00|1684994048.00 |655706.69|17520267264.00|
|          |      |              |      |      |      |
|282       |2017  |2910.00|1760821632.00 |661348.81|18483884032.00|
|          |      |              |      |      |      |
|283       |2017  |2920.00|1840061440.00 |667024.44|19500498944.00|
|          |      |              |      |      |      |
|284       |2017  |2930.00|1922867072.00 |672733.69|20573028352.00|
|          |      |              |      |      |      |
|285       |2017  |2940.00|2009398912.00 |678476.75|21704546304.00|
|          |      |              |      |      |      |
|286       |2017  |2950.00|2099824768.00 |684253.75|22898296832.00|
|          |      |              |      |      |      |
|287       |2017  |2960.00|2194319872.00 |690064.81|24157704192.00|
|          |      |              |      |      |      |
|288       |2017  |2970.00|2293067264.00 |695910.06|25486379008.00|
|          |      |              |      |      |      |
|289       |2017  |2980.00|2396258304.00 |701789.69|26888130560.00|
|          |      |              |      |      |      |
|290       |2017  |2990.00|2504092928.00 |707703.81|28366979072.00|
|          |      |              |      |      |      |
|291       |2017  |3000.00|2616780032.00 |713652.56|29927163904.00|
|          |      |              |      |      |      |
|292       |2017  |3010.00|2734537984.00 |719636.13|31573157888.00|
|          |      |              |      |      |      |
|293       |2017  |3020.00|2857595136.00 |725654.63|33309681664.00|
|          |      |              |      |      |      |
|294       |2017  |3030.00|2986189824.00 |731708.19|35141718016.00|
|          |      |              |      |      |      |
|295       |2017  |3040.00|3120571392.00 |737797.00|37074513920.00|
|          |      |              |      |      |      |
|296       |2017  |3050.00|3260999936.00 |743921.13|39113613312.00|
|          |      |              |      |      |      |
|297       |2017  |3060.00|3407747840.00 |750080.81|41264865280.00|
|          |      |              |      |      |      |
|298       |2017  |3070.00|3561099520.00 |756276.13|43534434304.00|
|          |      |              |      |      |      |
|299       |2017  |3080.00|3721351936.00 |762507.25|45928828928.00|
|          |      |              |      |      |      |
|300       |2017  |3090.00|3888815616.00 |768774.38|48454918144.00|
|          |      |              |      |      |      |
|301       |2017  |3100.00|4063815168.00 |775077.63|51119939584.00|
|          |      |              |      |      |      |
|302       |2017  |3110.00|4246689792.00 |781417.13|53931536384.00|
|          |      |              |      |      |      |
|303       |2017  |3120.00|4437793792.00 |787793.00|56897773568.00|
|          |      |              |      |      |      |
|304       |2017  |3130.00|4637497344.00 |794205.50|60027150336.00|
|          |      |              |      |      |      |
|305       |2017  |3140.00|4846187520.00 |800654.69|63328645120.00|
